"Countries,""Cost of living, 2017"",Global rank,Available data"
Mauritania,49.9,143,2017 - 2017
Armenia,49.68,144,2017 - 2017
Mozambique,49.57,145,2017 - 2017
Moldova,49.48,146,2017 - 2017
Algeria,49.36,147,2017 - 2017
Burkina Faso,49.19,148,2017 - 2017
Tanzania,48.53,149,2017 - 2017
Uganda,48.47,150,2017 - 2017
Malawi,47.49,151,2017 - 2017
Gambia,46.48,152,2017 - 2017
Belarus,45.75,153,2017 - 2017
Pakistan,45.2,154,2017 - 2017
Bhutan,45.07,155,2017 - 2017
Madagascar,44.3,156,2017 - 2017
Tunisia,43.98,157,2017 - 2017
Tajikistan,43.51,158,2017 - 2017
India,42.86,159,2017 - 2017
Nepal,41.85,160,2017 - 2017
Sierra Leone,41.32,161,2017 - 2017
Burma,41.08,162,2017 - 2017
Azerbaijan,40.56,163,2017 - 2017
Kyrgyzstan,40.38,164,2017 - 2017
Sudan,38.29,165,2017 - 2017
Ukraine,37.76,166,2017 - 2017
Egypt,27.37,167,2017 - 2017
